filename,id,date,host,short_title,title,date_short
doc_436043.txt,10937,2017-05-15,,Is this why MEPs are,Is this why MEPs are trying to rip Euro medicines agency from London? | World | News | Express.co.uk,2017-05
doc_728683.txt,10938,2017-07-27,www.standard.co.uk,six in 10 brexit vot,six in 10 brexit voters think gay sex is unnatural poll finds a3597726.html,2017-07
doc_110900.txt,10939,2017-06-01,www.standard.co.uk,election debate 2017,election debate 2017 party leaders slam theresa may for missing heated debate on terror leadership a3553966.html,2017-06
doc_706587.txt,10940,2017-03-13,www.express.co.uk,Remainer Nicky Morga,Remainer Nicky Morgan defy Government over Brexit Bill,2017-03
doc_314840.txt,10941,2017-03-15,www.socialeurope.eu,,,2017-03
doc_468464.txt,10942,2017-03-08,www.buzzfeed.com,a peer has been char,a peer has been charged with sending racially aggravated com,2017-03
doc_361612.txt,10943,2017-07-07,metro.co.uk,,,2017-07
doc_634847.txt,10944,2017-08-07,www.newsmax.com,,,2017-08
doc_651428.txt,10945,2017-03-07,www.express.co.uk,Nicola Sturgeon Scot,Nicola Sturgeon Scottish independence SNP Brexit news Jim Sillars,2017-03
doc_99800.txt,10946,2017-02-23,ipatriot.com,,,2017-02
doc_93614.txt,10947,2017-02-23,www.msn.com,ar AAn5X1X,ar AAn5X1X,2017-02
doc_67801.txt,10948,2017-03-18,thisismoney.co.uk,Kate Wills begin two,Kate Wills begin two day Brexit charm offensive.html,2017-03
doc_53949.txt,10949,2017-08-06,www.huffingtonpost.co.uk,nhs could go under_u,nhs could go under_uk_5986e8d9e4b041356ec05369,2017-08
doc_472116.txt,10950,2017-03-08,www.express.co.uk,Marine Le Pen presid,Marine Le Pen presidential election confident winning Frexit resign,2017-03
doc_419715.txt,10951,2017-03-24,www.express.co.uk,pound euro exchange ,pound euro exchange rate uk,2017-03
doc_647940.txt,10952,2017-03-07,msn.com,ar AAnKhRy,ar AAnKhRy,2017-03
doc_339073.txt,10953,2017-04-15,www.dailymail.co.uk,Kim s plan kidnap We,Kim s plan kidnap Western tourists South Korea.html,2017-04
doc_464684.txt,10954,2017-03-08,driving.ca,motor mouth gms sale,motor mouth gms sale of opel has global implications,2017-03
